,AutoCorrelation,CfsSubsetEval_DecisionStumpAUC,CfsSubsetEval_DecisionStumpErrRate,CfsSubsetEval_DecisionStumpKappa,CfsSubsetEval_NaiveBayesAUC,CfsSubsetEval_NaiveBayesErrRate,CfsSubsetEval_NaiveBayesKappa,CfsSubsetEval_kNN1NAUC,CfsSubsetEval_kNN1NErrRate,CfsSubsetEval_kNN1NKappa,ClassEntropy,DecisionStumpAUC,DecisionStumpErrRate,DecisionStumpKappa,Dimensionality,EquivalentNumberOfAtts,J48.00001.AUC,J48.00001.ErrRate,J48.00001.Kappa,J48.0001.AUC,J48.0001.ErrRate,J48.0001.Kappa,J48.001.AUC,J48.001.ErrRate,J48.001.Kappa,MajorityClassPercentage,MajorityClassSize,MaxAttributeEntropy,MaxKurtosisOfNumericAtts,MaxMeansOfNumericAtts,MaxMutualInformation,MaxNominalAttDistinctValues,MaxSkewnessOfNumericAtts,MaxStdDevOfNumericAtts,MeanAttributeEntropy,MeanKurtosisOfNumericAtts,MeanMeansOfNumericAtts,MeanMutualInformation,MeanNoiseToSignalRatio,MeanNominalAttDistinctValues,MeanSkewnessOfNumericAtts,MeanStdDevOfNumericAtts,MinAttributeEntropy,MinKurtosisOfNumericAtts,MinMeansOfNumericAtts,MinMutualInformation,MinNominalAttDistinctValues,MinSkewnessOfNumericAtts,MinStdDevOfNumericAtts,MinorityClassPercentage,MinorityClassSize,NaiveBayesAUC,NaiveBayesErrRate,NaiveBayesKappa,NumberOfBinaryFeatures,NumberOfClasses,NumberOfFeatures,NumberOfInstances,NumberOfInstancesWithMissingValues,NumberOfMissingValues,NumberOfNumericFeatures,NumberOfSymbolicFeatures,PercentageOfBinaryFeatures,PercentageOfInstancesWithMissingValues,PercentageOfMissingValues,PercentageOfNumericFeatures,PercentageOfSymbolicFeatures,Quartile1AttributeEntropy,Quartile1KurtosisOfNumericAtts,Quartile1MeansOfNumericAtts,Quartile1MutualInformation,Quartile1SkewnessOfNumericAtts,Quartile1StdDevOfNumericAtts,Quartile2AttributeEntropy,Quartile2KurtosisOfNumericAtts,Quartile2MeansOfNumericAtts,Quartile2MutualInformation,Quartile2SkewnessOfNumericAtts,Quartile2StdDevOfNumericAtts,Quartile3AttributeEntropy,Quartile3KurtosisOfNumericAtts,Quartile3MeansOfNumericAtts,Quartile3MutualInformation,Quartile3SkewnessOfNumericAtts,Quartile3StdDevOfNumericAtts,REPTreeDepth1AUC,REPTreeDepth1ErrRate,REPTreeDepth1Kappa,REPTreeDepth2AUC,REPTreeDepth2ErrRate,REPTreeDepth2Kappa,REPTreeDepth3AUC,REPTreeDepth3ErrRate,REPTreeDepth3Kappa,RandomTreeDepth1AUC,RandomTreeDepth1ErrRate,RandomTreeDepth1Kappa,RandomTreeDepth2AUC,RandomTreeDepth2ErrRate,RandomTreeDepth2Kappa,RandomTreeDepth3AUC,RandomTreeDepth3ErrRate,RandomTreeDepth3Kappa,StdvNominalAttDistinctValues,kNN1NAUC,kNN1NErrRate,kNN1NKappa,dataset_name,RF_PCA,RF_preprocessing,SVM_C,SVM_Gamma,SVM_Linear_C,SVM_Linear_PCA,SVM_Linear_Penalty,SVM_Linear_preprocessing,SVM_RBF_PCA,SVM_RBF_preprocessing,classifier_type,criterion,max_features,min_samples_split
0,0.6064659977703456,0.9067742570970945,0.13251670378619154,0.6191022730108037,0.9067742570970945,0.13251670378619154,0.6191022730108037,0.9067742570970945,0.13251670378619154,0.6191022730108037,1.189833856204398,0.8652735384332186,0.22828507795100222,0.4503332218612649,0.043429844097995544,26.839183802676523,0.9391585368767195,0.10356347438752785,0.7043302166347443,0.9391585368767195,0.10356347438752785,0.7043302166347443,0.9391585368767195,0.10356347438752785,0.7043302166347443,76.16926503340757,684.0,1.8215224482924186,13.215477213878724,1263.0946547884187,0.40908953764451,7.0,3.7616019689156888,1871.3991072665933,0.2515351603742048,4.6480244352098286,348.50426818856715,0.044331968697414056,4.673900071775454,1.6363636363636362,2.0269825910719437,405.17326983791025,-0.0,-0.9723842038435437,1.1985489977728285,0.0,0.0,0.07299048442083138,0.871208280971892,0.8908685968819599,8.0,0.9315907109421729,0.24610244988864144,0.5569590016631507,4.0,5.0,39.0,898.0,898.0,22175.0,6.0,33.0,10.256410256410255,100.0,63.317343384158534,15.384615384615385,84.61538461538461,0.0,-0.40305022089010156,3.025695155902005,0.0,0.967384603629726,10.505435772171138,0.0,1.6372437439142264,21.222160356347437,0.0,1.6547313364025702,69.85338529046133,0.2385631077559124,12.741748058445403,901.2636692650334,0.0206465881071925,3.7546438249219056,771.8590427889504,0.962680369298288,0.08463251670378619,0.768583383630482,0.962680369298288,0.08463251670378619,0.768583383630482,0.962680369298288,0.08463251670378619,0.768583383630482,0.9296999989655875,0.0801781737193764,0.7953250436852635,0.9296999989655875,0.0801781737193764,0.7953250436852635,0.9296999989655875,0.0801781737193764,0.7953250436852635,1.5576059718800395,0.8721948540771287,0.06347438752783964,0.8261102938928316,anneal,,0.0,,,,,,,,,0.0,0.0,5.0,1.0
1,0.9990610328638497,0.9619120657405762,0.05913642052565707,0.8811920214059075,0.9619120657405762,0.05913642052565707,0.8811920214059075,0.9619120657405762,0.05913642052565707,0.8811920214059075,0.9985755386554582,0.6714034536324981,0.33948685857321653,0.3396437687719142,0.011576971214017523,52.14040169716265,0.9960622907889662,0.007822277847309137,0.9843258097219999,0.9960622907889662,0.007822277847309137,0.9843258097219999,0.9960622907889662,0.007822277847309137,0.9843258097219999,52.221526908635795,1669.0,0.9956521852360185,,,0.19826687955488,3.0,,,0.5901482912442314,,,0.01915166562113,29.814462977732955,2.027027027027027,,,0.004094030352641959,,,1.18053e-09,2.0,,,47.778473091364205,1527.0,0.9520419938608541,0.12108886107634544,0.7569708778154078,35.0,2.0,37.0,3196.0,0.0,0.0,0.0,37.0,94.5945945945946,0.0,0.0,0.0,100.0,0.28756000355035294,,,0.000777595577705,,,0.6794996247614244,,,0.00542648921343,,,0.9132329806576945,,,0.0184861208375775,,,0.997615519019934,0.01376720901126408,0.972417266903898,0.997615519019934,0.01376720901126408,0.972417266903898,0.997615519019934,0.01376720901126408,0.972417266903898,0.9451363376145694,0.05444305381727159,0.8908498653739637,0.9451363376145694,0.05444305381727159,0.8908498653739637,0.9451363376145694,0.05444305381727159,0.8908498653739637,0.1643989873053572,0.9728427352982838,0.06914893617021277,0.8609676573571107,kr-vs-kp,,0.0,,,,,,,,,0.0,0.0,5.0,4.0
2,0.75,0.7297297297297297,0.24561403508771928,0.4608108108108108,0.7297297297297297,0.24561403508771928,0.4608108108108108,0.7297297297297297,0.24561403508771928,0.4608108108108108,0.9348490242345945,0.7378378378378379,0.3157894736842105,0.32232496697490093,0.2982456140350877,9.28828714469122,0.8054054054054054,0.2807017543859649,0.41085271317829464,0.8054054054054054,0.2807017543859649,0.41085271317829464,0.8054054054054054,0.2807017543859649,0.41085271317829464,64.91228070175438,37.0,1.5605046050671363,13.193068570995823,38.03921568627451,0.24447257116933,3.0,3.3180638457844434,5.027701042999452,1.0383925362945712,2.046258446813748,9.412290709168722,0.100648161460955,9.317054193755945,2.5555555555555554,0.2550756866594959,2.2355097044693673,0.2974722489192897,-2.0354063518898693,2.1607142857142856,0.01017528536252,2.0,-2.0072170784082766,0.7077951864586436,35.08771929824561,20.0,0.9445945945945946,0.07017543859649122,0.845945945945946,4.0,2.0,17.0,57.0,56.0,326.0,8.0,9.0,23.52941176470588,98.24561403508771,33.64293085655315,47.05882352941176,52.94117647058824,0.6244896350927029,-1.413442063840237,3.8310119047619047,0.0336959149271975,-0.5630562624901791,1.187969733292903,1.0889602035585444,-0.2634387154565929,4.421353436185133,0.07970808701396001,0.1585498852098189,1.3374554220264092,1.48049792155805,5.1804637540929885,10.181865828092244,0.158427693407435,0.8086595304734336,4.034545918750684,0.6040540540540541,0.21052631578947367,0.5155807365439093,0.6040540540540541,0.21052631578947367,0.5155807365439093,0.6040540540540541,0.21052631578947367,0.5155807365439093,0.7500711237553342,0.2982456140350877,0.3376623376623376,0.7500711237553342,0.2982456140350877,0.3376623376623376,0.7500711237553342,0.2982456140350877,0.3376623376623376,0.5270462766947299,0.7675675675675676,0.21052631578947367,0.5581395348837209,labor,,0.0,,,,,,,,,0.0,1.0,5.0,3.0
3,0.35476718403547675,0.7653966063675891,0.30973451327433627,0.5175505474063004,0.7653966063675891,0.30973451327433627,0.5175505474063004,0.7653966063675891,0.30973451327433627,0.5175505474063004,2.4013863002194658,0.6015576834475163,0.4336283185840708,0.1875349639126567,0.6194690265486725,150.93464090068497,0.7383415107504332,0.34292035398230086,0.47954893250330566,0.7383415107504332,0.34292035398230086,0.47954893250330566,0.7383415107504332,0.34292035398230086,0.47954893250330566,54.20353982300885,245.0,0.9925159706595619,451.9999999999995,367.2079646017699,0.09630660096865,13.0,21.260291625469215,127.2202476161274,0.07461190044139092,50.38865143126648,14.348604500020308,0.01591010708933,3.6895913410557024,2.0270270270270268,1.3270078171214814,9.970201091913465,-0.0,-1.635150923094491,-23.499115044247787,0.0,1.0,-21.260291625469705,0.0,0.4424778761061947,2.0,0.7862281086897593,0.39601769911504425,0.40657180577966845,73.0,13.0,280.0,452.0,384.0,408.0,206.0,74.0,26.071428571428573,84.95575221238938,0.3223767383059419,73.57142857142858,26.42857142857143,0.022701940096212393,2.165153949036563,0.0,0.00499416704837,-0.6693099191844241,0.9692697764291425,0.05756491042196099,7.218928058982424,0.9319690265486724,0.01268130953652,0.35488434030071475,3.4815895346917225,0.08775372581478977,31.709013642172323,19.962389380530972,0.02423945982055,2.579932015880894,16.45076155001282,0.7380916114923509,0.3495575221238938,0.4459022244291512,0.7380916114923509,0.3495575221238938,0.4459022244291512,0.7380916114923509,0.3495575221238938,0.4459022244291512,0.6217055780491048,0.5066371681415929,0.23296726097846543,0.6217055780491048,0.5066371681415929,0.23296726097846543,0.6217055780491048,0.5066371681415929,0.23296726097846543,1.3341969312340396,0.5985703851111869,0.4646017699115044,0.21277866242038226,arrhythmia,,0.0,,,,,,,,,0.0,0.0,4.0,0.0
4,0.04090204510225511,0.9425298055650914,0.15215,0.841756863867533,0.9425298055650914,0.15215,0.841756863867533,0.9425298055650914,0.15215,0.841756863867533,4.69981072657316,0.6574545268026781,0.9293,0.03276976655404448,0.00085,,0.9379676053125593,0.15865,0.8349979241615618,0.9379676053125593,0.15865,0.8349979241615618,0.9379676053125593,0.15865,0.8349979241615618,4.0649999999999995,813.0,,2.075245046157538,8.338849999999995,,26.0,1.1599750154235924,3.304555303560269,,0.6977379005298701,5.925465624999998,,,26.0,0.29029703410184804,2.273771145446362,,-0.4211788221168451,3.046099999999995,,26.0,-0.31007906987268463,1.5467224363199539,3.6700000000000004,734.0,0.9559207236903551,0.36025,0.6253250509940796,0.0,26.0,17.0,20000.0,0.0,0.0,16.0,1.0,0.0,0.0,0.0,94.11764705882352,5.88235294117647,,0.3091324958538607,4.174812499999999,,-0.13733042812365298,2.017438812826727,,0.8853044390128566,5.913225000000001,,0.2543345879398813,2.2933721022270195,,1.1728389823381402,7.7260124999999995,,0.653378002627639,2.5474231354919117,0.9544303249787935,0.20315,0.7887152321892192,0.9544303249787935,0.20315,0.7887152321892192,0.9544303249787935,0.20315,0.7887152321892192,0.9080139521161272,0.1769,0.816017080292,0.9080139521161272,0.1769,0.816017080292,0.9080139521161272,0.1769,0.816017080292,0.0,0.9731018928391187,0.05785,0.939833878217649,letter,,,2569620.706116828,0.9389547903079795,,,,,,0.0,2.0,,,
5,0.3244444444444444,0.9125987988342159,0.26991150442477874,0.6830877451093079,0.9125987988342159,0.26991150442477874,0.6830877451093079,0.9125987988342159,0.26991150442477874,0.6830877451093079,3.421946787728172,0.7583676374829571,0.5353982300884956,0.30593908629441624,0.30973451327433627,24.870653461707807,0.920832103316091,0.25663716814159293,0.6996058300485838,0.920832103316091,0.25663716814159293,0.6996058300485838,0.920832103316091,0.25663716814159293,0.6996058300485838,25.221238938053098,57.0,2.1712476082112584,,,0.90344086424469,24.0,,,0.3181153716783362,,,0.13758974178128391,1.3120573347976794,2.5428571428571423,,,0.04097202425663313,,,0.00883549694617,2.0,,,0.4424778761061947,1.0,0.94654224241335,0.3805309734513274,0.5329231952321446,61.0,24.0,70.0,226.0,222.0,317.0,0.0,70.0,87.14285714285714,98.23008849557522,2.0037926675094817,0.0,100.0,0.04097202425663313,,,0.02093076313725,,,0.07306611931384561,,,0.04753979394216,,,0.2994113292359871,,,0.14196206092104,,,0.9029715201890381,0.29646017699115046,0.6453282739559179,0.9029715201890381,0.29646017699115046,0.6453282739559179,0.9029715201890381,0.29646017699115046,0.6453282739559179,0.7950649758384568,0.3938053097345133,0.5331770603662358,0.7950649758384568,0.3938053097345133,0.5331770603662358,0.7950649758384568,0.3938053097345133,0.5331770603662358,2.7063302833328517,0.8718367118056953,0.26548672566371684,0.6858274831445055,audiology,,,,,173.92414113595407,,0.0,0.0,,,1.0,,,
7,0.6323529411764706,0.8428617571439985,0.36097560975609755,0.5260115606936416,0.8428617571439985,0.36097560975609755,0.5260115606936416,0.8428617571439985,0.36097560975609755,0.5260115606936416,2.272474018783028,0.6939051793496049,0.551219512195122,0.21367956551255943,0.12682926829268293,7.90721333507133,0.8566956627501698,0.3121951219512195,0.5980145842269746,0.8566956627501698,0.3121951219512195,0.5980145842269746,0.8566956627501698,0.3121951219512195,0.5980145842269746,32.6829268292683,67.0,4.117919521294445,5.3056820917037495,13207.12935323383,0.92107332056188,22.0,2.610862457615158,7947.066341939271,1.3925776867040678,1.3593185995836767,1447.0910079157657,0.287392526606534,3.8455598450916946,6.0,0.7995814630212839,606.9879337570025,0.11014543112483141,-0.8289454004870125,3.2554228855721394,0.04098129634827,2.0,-0.6831221940577388,0.2735387318295989,1.4634146341463417,3.0,0.8368489595499649,0.4195121951219512,0.46246722361119574,4.0,6.0,26.0,205.0,46.0,59.0,15.0,11.0,15.384615384615385,22.439024390243905,1.1069418386491556,57.692307692307686,42.30769230769231,0.6261612741901125,-0.042853766099905766,25.21951219512195,0.057897892440332506,0.07323669149378212,2.443521969904905,1.1852128661037806,0.578648340484976,98.75658536585365,0.22060528963958498,0.6813981890525873,6.88644313094182,1.7974373444255942,2.623279794217764,174.04926829268294,0.42403249862553505,1.391029493792932,41.64269343817983,0.8037206601945793,0.43902439024390244,0.41763201919131343,0.8037206601945793,0.43902439024390244,0.41763201919131343,0.8037206601945793,0.43902439024390244,0.41763201919131343,0.8425262612063481,0.2682926829268293,0.6514359909728877,0.8425262612063481,0.2682926829268293,0.6514359909728877,0.8425262612063481,0.2682926829268293,0.6514359909728877,5.796550698475776,0.8258624934997548,0.25853658536585367,0.6663288495792642,autos,,0.0,,,,,,,,,0.0,1.0,6.0,0.0
8,0.5034013605442177,0.7924545850419331,0.23648648648648649,0.5474401537655076,0.7924545850419331,0.23648648648648649,0.5474401537655076,0.7924545850419331,0.23648648648648649,0.5474401537655076,1.2276775019465804,0.7715656536027917,0.24324324324324326,0.5316455696202532,0.12837837837837837,9.37680223405617,0.8035040133716935,0.24324324324324326,0.55,0.8035040133716935,0.24324324324324326,0.55,0.8035040133716935,0.24324324324324326,0.55,54.729729729729726,81.0,2.527125737973009,29.749465128075876,2.6013513513513518,0.40188387586188,8.0,5.442361694493849,1.9050233089611373,1.1174061851513224,9.883463404163178,2.045045045045045,0.13092709767170999,7.534567748176438,3.0,2.326489482053779,1.0184023049334343,0.2748031957462935,-0.5040960482425287,1.060810810810811,0.02911996300275,2.0,0.33379516180165014,0.3135565426849874,1.3513513513513513,2.0,0.9083282647773021,0.1554054054054054,0.7014820661229503,9.0,4.0,19.0,148.0,0.0,0.0,3.0,16.0,47.368421052631575,0.0,0.0,15.789473684210526,84.21052631578947,0.7404482452691425,-0.5040960482425287,1.060810810810811,0.0637948721468,0.33379516180165014,0.3135565426849874,0.9915528503834039,0.40502113265619144,2.472972972972973,0.135651202733,1.2033115898658382,0.8366270631541782,1.6082585569929884,29.749465128075876,2.6013513513513518,0.17368798992783,5.442361694493849,1.9050233089611373,0.7466579226863443,0.2905405405405405,0.430361618331543,0.7466579226863443,0.2905405405405405,0.430361618331543,0.7466579226863443,0.2905405405405405,0.430361618331543,0.7576210719961072,0.24324324324324326,0.5295364238410597,0.7576210719961072,0.24324324324324326,0.5295364238410597,0.7576210719961072,0.24324324324324326,0.5295364238410597,1.591644851508443,0.8277376333822596,0.19594594594594594,0.6237068209714186,lymph,,0.0,,,,,,,,,0.0,0.0,4.0,1.0
9,0.6971153846153846,0.8406824596109461,0.1984,0.6373963655418936,0.8406824596109461,0.1984,0.6373963655418936,0.8406824596109461,0.1984,0.6373963655418936,1.318116246441582,0.6469194362017804,0.376,0.3026706231454006,0.008,,0.8406824596109461,0.1984,0.6373963655418936,0.8406824596109461,0.1984,0.6373963655418936,0.8406824596109461,0.1984,0.6373963655418936,46.08,288.0,,-1.300798439249971,3.0,,3.0,0.0,1.4153462926807447,,-1.3007984392499752,3.0,,,3.0,0.0,1.4153462926807447,,-1.3007984392499798,3.0,,3.0,0.0,1.4153462926807447,7.84,49.0,0.9630951121002308,0.104,0.8071216617210683,0.0,3.0,5.0,625.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,80.0,20.0,,-1.3007984392499787,3.0,,0.0,1.4153462926807447,,-1.300798439249975,3.0,,0.0,1.4153462926807447,,-1.3007984392499718,3.0,,0.0,1.4153462926807447,0.8525668273986152,0.2144,0.602373887240356,0.8525668273986152,0.2144,0.602373887240356,0.8525668273986152,0.2144,0.602373887240356,0.834430637982196,0.2144,0.6257317781650802,0.834430637982196,0.2144,0.6257317781650802,0.834430637982196,0.2144,0.6257317781650802,0.0,0.9232008696010551,0.1648,0.7027931671283473,balance-scale,,,323.7866413103609,0.11756089347116835,,,,,0.0,1.0,2.0,,,
10,0.9954977488744372,0.9360315277777779,0.1335,0.8516666666666667,0.9360315277777779,0.1335,0.8516666666666667,0.9360315277777779,0.1335,0.8516666666666667,3.321928094887362,0.7207469444444443,0.8065,0.10388888888888889,0.1085,,0.9277102777777778,0.1375,0.8472222222222223,0.9277102777777778,0.1375,0.8472222222222223,0.9277102777777778,0.1375,0.8472222222222223,10.0,200.0,,1.7012862999932459,1141.5704999999996,,10.0,0.8630705307139119,153.51158138902838,,-0.315188200704828,318.2703888888889,,,10.0,0.027560516903782382,49.58131318395632,,-1.3893209589478623,6.7674999999999965,,10.0,-1.0738237890694697,1.9854850353031415,10.0,200.0,0.9919074999999999,0.0765,0.915,0.0,10.0,217.0,2000.0,0.0,0.0,216.0,1.0,0.0,0.0,0.0,99.53917050691244,0.4608294930875576,,-0.6970467475463484,14.118125000000006,,-0.2190263674003187,5.542689317909613,,-0.40269116562873153,146.4797499999999,,-0.014119361298266794,30.290065676946117,,0.01138630535997398,684.5027499999998,,0.36651259782511425,91.59687126428517,0.9486284722222221,0.1575,0.8250000000000001,0.9486284722222221,0.1575,0.8250000000000001,0.9486284722222221,0.1575,0.8250000000000001,0.8927777777777776,0.193,0.7855555555555556,0.8927777777777776,0.193,0.7855555555555556,0.8927777777777776,0.193,0.7855555555555556,0.0,0.9753261111111112,0.044,0.951111111111111,mfeat-factors,,,5.972412126692041,0.023134823437264283,,,,,,0.0,2.0,,,
